dssat-csm-os-git	0	  /gnu/store/mhak6gczqrlxh0y86k5i1lwfazvjxsiy-dssat-csm-os-git-0.9.8.drv
dyad-git	0	  /gnu/store/kl04sl3rca4ivc2x0xb6djsglsqw19si-dyad-git-0.9.8.drv
sot	0	  /gnu/store/x36hj97rxcchf8b4c5hrq2wl47pff8cq-sot-0.9.8.drv
navicat17-premium-en	0	  /gnu/store/wi4bk5y7rdwrddnvws4454gfqzp1mp3f-navicat17-premium-en-0.9.8.drv
ollama-for-amd	0	  /gnu/store/sj93884qrmz7naiwzc83kh974jncmsrr-ollama-for-amd-0.9.8.drv
cervisia	0	  /gnu/store/85r5spavv8538d79l7szhi6rhznhg35g-cervisia-0.9.8.drv
harmonoid-bin	0	  /gnu/store/a78y198qxsprk7jpxdqibhhcvmgd1f7h-harmonoid-bin-0.9.8.drv
jdk21-temurin	0	  /gnu/store/n80p1i3h0zadwwa62wfl8pg91crakmgk-jdk21-temurin-0.9.8.drv
maretf-bin	0	  /gnu/store/dhvc38jmfc81n0xp8is7m6i118b3sp0a-maretf-bin-0.9.8.drv
clash-verge-rev-autobuild-bin	0	  /gnu/store/y9migm03zawnw1py9vzllifzhwrkpxgj-clash-verge-rev-autobuild-bin-0.9.8.drv
hyprqt6engine-git	0	  /gnu/store/f1p90ijxya5gqhlsmkspmp8cmlk0g52h-hyprqt6engine-git-0.9.8.drv
idplugclassic-ro-cei-bin	0	  /gnu/store/l22ljjbjwdh6z9db7wawmqqvdrqby7k9-idplugclassic-ro-cei-bin-0.9.8.drv
ocr-fonts	0	  /gnu/store/3fnk6q9rqmjdarymr9nvcdhrgn7ncr56-ocr-fonts-0.9.8.drv
checkstyle-bin	0	  /gnu/store/zmprwfh121jjr2pa0gdiqbcsqvlxzg1z-checkstyle-bin-0.9.8.drv
barmer-ecare-bin	0	  /gnu/store/qmsjx42x5v4wqyrzzi7gmjr2x7yd1dd2-barmer-ecare-bin-0.9.8.drv
qdia	0	  /gnu/store/sx5gry703m076h4f12lqhrv6nqdbxjqb-qdia-0.9.8.drv
osslsigncode	0	  /gnu/store/6axp97i4fygwa618880hmmk2axx5vibf-osslsigncode-0.9.8.drv
